Clones,Values
WT,22.11738
WT,38.24621
WT,28.89309
WT,26.19906
WT_CCR4,0.632925
WT_CCR4,1.556523
WT_CCR4,2.529129
WT_CCR4,1.187291
E788,36.90982
E788,55.58391
E788,57.68029
E788,43.81688
E788_CCR4,0.856782
E788_CCR4,3.405828
E788_CCR4,1.592269
E788_CCR4,1.040151
