Clones,UHO1_IL3_TARC
Empty,101.5122
Empty_pacritinib,43.5122
WT,130.7805
WT_pacritinib,116.6341
WT_E788,226.5366
WT_E788_pacritinib,116.3902
Empty,98.14634
Empty_pacritinib,40.92683
WT,138.6341
WT_pacritinib,119.0732
WT_E788,229.8537
WT_E788_pacritinib,112.7317
Empty,118.2429
Empty_pacritinib,42.64286
WT,102.3
WT_pacritinib,135.8143
WT_E788,221.7
WT_E788_pacritinib,107.7429
Empty,116.4429
Empty_pacritinib,44.78571
WT,111.6429
WT_pacritinib,142.5857
WT_E788,235.0714
WT_E788_pacritinib,114.7143
