Clones,UHO1_IL5_IL13
Empty,20.2
Empty_pacritinib,23.8
WT,28.8
WT_pacritinib,32.4
WT_p.E788,891.2
WT_p.E788_pacritinib,53
Empty,26.8
Empty_pacritinib,27.8
WT,33
WT_pacritinib,35.6
WT_p.E788,844.2
WT_p.E788_pacritinib,58.2
Empty,10.4
Empty_pacritinib,11.6
WT,29.6
WT_pacritinib,19
WT_p.E788,676.2
WT_p.E788_pacritinib,60.8
