"Patient","ROI","cell_ID","Location_Center_X","Location_Center_Y","initial_cell_type","NMF_clustering","LAG3_CD4","FOXP3_CD4","CCR4_CD4","CTLA4_CD4","PD1_CD4","CXCL13_CD4","Ki67_CD4","GranzymeB_CD8","TIM3_PD1_CD8","CD27_B","CXCR5_B","CD11c_B","BCL6_B","Ki67_B","CCL17_HRS","CXCR5_HRS","CD47_HRS","CXCR4_HRS","TGFB_HRS","Galectin9_HRS","PDL1_HRS","CLEC2D_HRS","CD123_HRS","CD80_HRS","Ki67_HRS","CD123_Mac_Myeloid","CD163_Mac_Myeloid","PDL1_Mac_Myeloid","Galectin9_Mac_Myeloid","CD80_Mac_Myeloid","TIM3_Mac_Myeloid","CXCL13_Mac_Myeloid","Ki67_Mac_Myeloid","Fibronectin_Stromal","Vimentin_Stromal","SMA_Stromal","CXCL12_Stromal","CXCL13_Stromal","Ki67_Stromal","PD1_TFH_CD4","LAG3_CD4_summary_metric","FOXP3_CD4_summary_metric","CCR4_CD4_summary_metric","CTLA4_CD4_summary_metric","PD1_CD4_summary_metric","CXCL13_CD4_summary_metric","Ki67_CD4_summary_metric","CD123_Mac_Myeloid_summary_metric","CD163_Mac_Myeloid_summary_metric","PDL1_Mac_Myeloid_summary_metric","Galectin9_Mac_Myeloid_summary_metric","CD80_Mac_Myeloid_summary_metric","TIM3_Mac_Myeloid_summary_metric","CXCL13_Mac_Myeloid_summary_metric","Ki67_Mac_Myeloid_summary_metric","CCL17_HRS_summary_metric","CXCR5_HRS_summary_metric","CD47_HRS_summary_metric","CXCR4_HRS_summary_metric","TGFB_HRS_summary_metric","Galectin9_HRS_summary_metric","PDL1_HRS_summary_metric","CLEC2D_HRS_summary_metric","CD123_HRS_summary_metric","CD80_HRS_summary_metric","Ki67_HRS_summary_metric","CD27_B_summary_metric","CXCR5_B_summary_metric","CD11c_B_summary_metric","BCL6_B_summary_metric","Ki67_B_summary_metric","Fibronectin_Stromal_summary_metric","Vimentin_Stromal_summary_metric","SMA_Stromal_summary_metric","CXCL12_Stromal_summary_metric","CXCL13_Stromal_summary_metric","Ki67_Stromal_summary_metric","GranzymeB_CD8_summary_metric","TIM3_PD1_CD8_summary_metric","CD68_Mac_Myeloid","CD68_Mac_Myeloid_summary_metric","PD1_TFH_CD4_summary_metric","PD1_CD4_Treg_summary_metric","PD1_CXCL13_CD4_summary_metric"
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19231",1434.65942028986,1228.80434782609,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0,0.017070964031555,0,0.467469822790508,0.561931985824668,0,0,0.64417230607729,0.0163119645931744,0,0.880447106775818,0.846408627789098,0.0316016175087192,0.119456109205055,0.614578166061838,0.863904775970873,0,0.203555858781833,0.642956552604779,0,0.656301180078825,0,0.718796700066421,0.791863007815402,0.710880805564643,0.714485193487852,0.108906784220283,0,0,0.895208704458991,0.108906784220283,0,0,0.375145226319252,0.0629986978187251,0,0,0,0,"0",0.334551312795156,0,0.561931985824668,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19247",1240.16,1231.4,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0,0.367870823896596,0,0.253321776689522,0.663908502953517,0,0,0.593455242937576,0.12594318290558,0,0.853189265208509,0.732286793213647,0.042218352503475,0.0930227493215151,0.698767616138049,0.906436473388373,0,0.261100958249661,0.649790618487297,0,0.702432791880636,0,0.767458878217636,0.871840597825578,0.732128124303052,0.695941932280545,0,0,0,0.189730810490985,0,0,0.102227259860844,0.470575273626612,0.193840954019852,0,0.131317946006512,0,0,"0",0.530915756645704,0,0.663908502953517,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19256",1371.41071428571,1230.08928571429,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0486381039130867,0,0.447942014393742,0.573708075792488,0,0,0.562618084988112,0.0369451803969737,0,0.855033375398343,0.774389629278748,0.0472989106555026,0.117714254088985,0.566216855321253,0.906741124528797,0,0.310471518590229,0.646843649126424,0,0.733251007793377,0,0.795102843595243,0.832264443926428,0.701050468585501,0.70985614712763,0.0327593008714061,0,0,0.673492979922396,0.0327593008714061,0,0,0.379201483903478,0.0772125032543563,0,0,0,0,"0",0.509487297468676,0,0.573708075792488,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19257",1384.82352941176,1234.86554621849,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0280558539655701,0,0.471582249089083,0.553004166257997,0,0,0.563991116541858,0.0365933087745212,0,0.869348489960979,0.789129333606024,0.0472230450778254,0.111873885251218,0.566365593169017,0.913840792764896,0,0.287382122444669,0.646119897069141,0,0.71486002272753,0,0.794504961018424,0.838448375822127,0.706182284516131,0.686208803396958,0.0580385636487554,0,0,0.737866635251098,0.0580385636487554,0,0,0.393469848463239,0.0824109159752199,0,0,0,0,"0",0.472814837090131,0,0.553004166257997,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19272",966.601941747573,1234.09708737864,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0.740736474787724,0.730843380649464,0,0,0.746294307615323,0.602143861599965,0,0.861470987645819,0.840548927248668,0.264041464365511,0,0.708769630631896,0.673843113084258,0,0,0.175375813139459,0,0.093838387240838,0,0.25784894921578,0.377979076198824,0.397230162838156,0.298764983950463,0.0526501077666605,0,0,0.805972277521101,0.0526501077666605,0,0.779621683064516,0.770447934926456,0.587252946342654,0,0.0400937345908199,0,0,"1",0.842582754166058,0,0.730843380649464,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19273",1089.57522123894,1232.47787610619,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0,0.137841517115146,0,0.570495318500292,0.777026026004088,0,0,0.629530478760971,0.445860289416917,0,0.820415564501667,0.847445835637666,0.233484015496199,0.0422826547084362,0.769631800900126,0.872804471769297,0,0.0295609108554988,0.603660455900413,0,0.5416204355706,0,0.756448317361657,0.791649599882968,0.709883946242107,0.772651927429478,0,0,0,0.587642436709974,0,0,0.493078523554205,0.704142572783617,0.661583528237055,0,0.0983618768597399,0,0,"0",0.744108591190533,0,0.777026026004088,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19292",1067,1234.5035971223,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0926934252667877,0,0.638888122136202,0.839016528785781,0,0,0.655996379087944,0.465285737591842,0,0.868767181787157,0.870326041129777,0.239147355419409,0.0410369419752017,0.823174779121539,0.781551073624036,0,0.00571323907629306,0.519985535763039,0,0.43886083392502,0,0.665389838748069,0.675703641142813,0.618355896116315,0.686751537843975,0,0,0,0.641737881250079,0,0,0.528232530852888,0.747158525986342,0.711652860572413,0,0.0748049728270487,0,0,"0",0.745817031448634,0,0.839016528785781,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19294",1112.13114754098,1234.91803278689,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0,0.181530507940576,0,0.512848674434185,0.708621770683883,0,0,0.593517791806183,0.42956406102378,0,0.824287812030069,0.798788725105157,0.212814243878583,0.0446134358519926,0.710156692237202,0.893321284132907,0,0.0522213479961255,0.653376389965176,0,0.592753278184133,0,0.786721858238728,0.892613521692068,0.780370756262957,0.80225151834756,0,0,0,0.527402083169386,0,0,0.436084189536041,0.666769447439449,0.57915860756136,0,0.125098892139985,0,0,"0",0.703978424722693,0,0.708621770683883,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19295",1275.20289855072,1232.55797101449,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.317535023230229,0,0.265248919735855,0.622174290838392,0,0,0.557832016558308,0.0688028707020859,0,0.826688898870447,0.734225583446767,0.0521051383342739,0.122756033379919,0.624830451082659,0.927291705336198,0,0.298569293061917,0.669488793880012,0,0.687374587542205,0,0.757854917318825,0.879896429930338,0.746261119694616,0.72050989047418,0,0,0,0.23311802274685,0,0,0.0441659333435751,0.378896729157179,0.130584619743846,0,0.0961487473674939,0,0,"0",0.510620870752012,0,0.622174290838392,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_19298",1401.29245283019,1236.42452830189,"Mac","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0,0.0118526153509793,0,0.488528309412047,0.547961049173904,0,0,0.562713672167689,0.033189402146828,0,0.883052439680008,0.79721824207794,0.0441473762976406,0.107732773275493,0.568062954078493,0.934346948190033,0,0.259425323867827,0.639540337663139,0,0.698887005627971,0,0.769209978768947,0.820397142504392,0.713564692505503,0.677456487588582,0.0841595382886556,0,0,0.810393556015725,0.0841595382886556,0,0,0.39758820107353,0.0818960816854137,0,0,0,0,"0",0.422941867371813,0,0.547961049173904,0
